n,k,alg,sharpe_is_mean,sharpe_oos_mean,sharpe_oos_se_mean,delta_rel_mean,match_oracle_rate
20,5,eqn,0.5597998239904154,0.7570972078396926,0.051717375658794494,-0.5133699190667655,
20,5,oracle,0.9039598238881636,0.6161729728932624,0.051010527801464235,0.29651252111230264,1.0
20,5,slh,0.9039598238881636,0.6161729728932624,0.051010527801464235,0.29651252111230264,1.0
20,5,topmu,0.9491445078263137,0.5316947121962606,0.04855903244673632,0.4040734155327044,0.0
30,5,eqn,0.6092151998067505,0.6330579171794933,0.049233673323575596,-0.042124479918980835,
30,5,oracle,0.9902756833940497,0.47600690337627805,0.04977364804313327,0.48128175918916327,1.0
30,5,slh,0.9902756833940497,0.47600690337627805,0.04977364804313327,0.48128175918916327,1.0
30,5,topmu,0.918364803192367,0.2889019211634802,0.04753874282192003,0.6472637129406396,0.0
30,8,eqn,0.66542406688588,0.481447319935588,0.04791779625556173,0.26914008723644833,
30,8,oracle,1.0078215982741243,0.46348752764134443,0.048385409654008525,0.5298547937971901,1.0
30,8,slh,1.0078215982741243,0.46348752764134443,0.048385409654008525,0.5298547937971901,1.0
30,8,topmu,0.9673217224968095,0.20322323074346088,0.04648177882315819,0.7912770835855958,0.0
40,5,eqn,0.6510048063202584,0.7411068724120617,0.050611463117466414,-0.15337888017809054,
40,5,oracle,1.0863938049276824,0.538943363763077,0.0506422471290241,0.479689158018909,1.0
40,5,slh,1.0924393362162443,0.4659852653700899,0.04978243682148296,0.5572696419354484,0.8
40,5,topmu,1.0243361552534638,0.4895427924588466,0.04744070781973546,0.5123180665076624,0.0
50,5,eqn,0.6042444807754619,0.5869542710081871,0.04874658067690903,0.00473260417315704,
50,5,oracle,1.1585766159724393,0.7084893915597892,0.049981022500057884,0.3806491362182465,1.0
50,5,slh,1.1585766159724393,0.7084893915597892,0.049981022500057884,0.3806491362182465,1.0
50,5,topmu,1.088896501881514,0.46276903685792076,0.048813971406798565,0.5352371040265697,0.0
